survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2023-W19,2023-05-14,ICUadmissions,15-64,1
non-sentinel,Austria,AT,2023-W19,2023-05-14,ICUadmissions,total,1
non-sentinel,Austria,AT,2023-W17,2023-04-30,ICUadmissions,15-64,1
non-sentinel,Austria,AT,2023-W17,2023-04-30,ICUadmissions,65+,1
non-sentinel,Austria,AT,2023-W17,2023-04-30,ICUadmissions,total,2
non-sentinel,Austria,AT,2023-W15,2023-04-16,ICUadmissions,65+,1
non-sentinel,Austria,AT,2023-W15,2023-04-16,ICUadmissions,total,1
non-sentinel,Austria,AT,2023-W14,2023-04-09,ICUadmissions,15-64,2
non-sentinel,Austria,AT,2023-W14,2023-04-09,ICUadmissions,65+,3
non-sentinel,Austria,AT,2023-W14,2023-04-09,ICUadmissions,total,5
non-sentinel,Austria,AT,2023-W13,2023-04-02,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2023-W13,2023-04-02,ICUadmissions,15-64,15
non-sentinel,Austria,AT,2023-W13,2023-04-02,ICUadmissions,65+,9
non-sentinel,Austria,AT,2023-W13,2023-04-02,ICUadmissions,total,25
non-sentinel,Austria,AT,2023-W12,2023-03-26,ICUadmissions,15-64,28
non-sentinel,Austria,AT,2023-W12,2023-03-26,ICUadmissions,65+,32
non-sentinel,Austria,AT,2023-W12,2023-03-26,ICUadmissions,total,60
non-sentinel,Austria,AT,2023-W11,2023-03-19,ICUadmissions,0-4,2
non-sentinel,Austria,AT,2023-W11,2023-03-19,ICUadmissions,15-64,34
non-sentinel,Austria,AT,2023-W11,2023-03-19,ICUadmissions,65+,30
non-sentinel,Austria,AT,2023-W11,2023-03-19,ICUadmissions,total,66
non-sentinel,Austria,AT,2023-W10,2023-03-12,ICUadmissions,0-4,2
non-sentinel,Austria,AT,2023-W10,2023-03-12,ICUadmissions,15-64,53
non-sentinel,Austria,AT,2023-W10,2023-03-12,ICUadmissions,65+,36
non-sentinel,Austria,AT,2023-W10,2023-03-12,ICUadmissions,total,91
non-sentinel,Austria,AT,2023-W09,2023-03-05,ICUadmissions,15-64,37
non-sentinel,Austria,AT,2023-W09,2023-03-05,ICUadmissions,5-14,1
non-sentinel,Austria,AT,2023-W09,2023-03-05,ICUadmissions,65+,23
non-sentinel,Austria,AT,2023-W09,2023-03-05,ICUadmissions,total,61
non-sentinel,Austria,AT,2023-W08,2023-02-26,ICUadmissions,0-4,2
non-sentinel,Austria,AT,2023-W08,2023-02-26,ICUadmissions,15-64,57
non-sentinel,Austria,AT,2023-W08,2023-02-26,ICUadmissions,65+,35
non-sentinel,Austria,AT,2023-W08,2023-02-26,ICUadmissions,total,94
non-sentinel,Austria,AT,2023-W07,2023-02-19,ICUadmissions,0-4,4
non-sentinel,Austria,AT,2023-W07,2023-02-19,ICUadmissions,15-64,60
non-sentinel,Austria,AT,2023-W07,2023-02-19,ICUadmissions,65+,46
non-sentinel,Austria,AT,2023-W07,2023-02-19,ICUadmissions,total,110
non-sentinel,Austria,AT,2023-W06,2023-02-12,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2023-W06,2023-02-12,ICUadmissions,15-64,53
non-sentinel,Austria,AT,2023-W06,2023-02-12,ICUadmissions,65+,26
non-sentinel,Austria,AT,2023-W06,2023-02-12,ICUadmissions,total,80
non-sentinel,Austria,AT,2023-W05,2023-02-05,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2023-W05,2023-02-05,ICUadmissions,15-64,43
non-sentinel,Austria,AT,2023-W05,2023-02-05,ICUadmissions,65+,26
non-sentinel,Austria,AT,2023-W05,2023-02-05,ICUadmissions,total,70
non-sentinel,Austria,AT,2023-W04,2023-01-29,ICUadmissions,0-4,3
non-sentinel,Austria,AT,2023-W04,2023-01-29,ICUadmissions,15-64,51
non-sentinel,Austria,AT,2023-W04,2023-01-29,ICUadmissions,65+,19
non-sentinel,Austria,AT,2023-W04,2023-01-29,ICUadmissions,total,73
non-sentinel,Austria,AT,2023-W03,2023-01-22,ICUadmissions,0-4,3
non-sentinel,Austria,AT,2023-W03,2023-01-22,ICUadmissions,15-64,34
non-sentinel,Austria,AT,2023-W03,2023-01-22,ICUadmissions,5-14,1
non-sentinel,Austria,AT,2023-W03,2023-01-22,ICUadmissions,65+,23
non-sentinel,Austria,AT,2023-W03,2023-01-22,ICUadmissions,total,61
non-sentinel,Austria,AT,2023-W02,2023-01-15,ICUadmissions,15-64,26
non-sentinel,Austria,AT,2023-W02,2023-01-15,ICUadmissions,65+,35
non-sentinel,Austria,AT,2023-W02,2023-01-15,ICUadmissions,total,61
non-sentinel,Austria,AT,2023-W01,2023-01-08,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2023-W01,2023-01-08,ICUadmissions,15-64,42
non-sentinel,Austria,AT,2023-W01,2023-01-08,ICUadmissions,65+,67
non-sentinel,Austria,AT,2023-W01,2023-01-08,ICUadmissions,total,110
non-sentinel,Austria,AT,2022-W52,2023-01-01,ICUadmissions,15-64,41
non-sentinel,Austria,AT,2022-W52,2023-01-01,ICUadmissions,65+,55
non-sentinel,Austria,AT,2022-W52,2023-01-01,ICUadmissions,total,96
non-sentinel,Austria,AT,2022-W51,2022-12-25,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2022-W51,2022-12-25,ICUadmissions,15-64,86
non-sentinel,Austria,AT,2022-W51,2022-12-25,ICUadmissions,5-14,2
non-sentinel,Austria,AT,2022-W51,2022-12-25,ICUadmissions,65+,67
non-sentinel,Austria,AT,2022-W51,2022-12-25,ICUadmissions,total,156
non-sentinel,Austria,AT,2022-W50,2022-12-18,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2022-W50,2022-12-18,ICUadmissions,15-64,74
non-sentinel,Austria,AT,2022-W50,2022-12-18,ICUadmissions,65+,71
non-sentinel,Austria,AT,2022-W50,2022-12-18,ICUadmissions,total,146
non-sentinel,Austria,AT,2022-W49,2022-12-11,ICUadmissions,0-4,1
non-sentinel,Austria,AT,2022-W49,2022-12-11,ICUadmissions,15-64,67
non-sentinel,Austria,AT,2022-W49,2022-12-11,ICUadmissions,65+,78
non-sentinel,Austria,AT,2022-W49,2022-12-11,ICUadmissions,total,146
non-sentinel,Austria,AT,2022-W48,2022-12-04,ICUadmissions,0-4,3
non-sentinel,Austria,AT,2022-W48,2022-12-04,ICUadmissions,15-64,57
