country,age_group,median_hosp_rate,lower_hosp_rate,upper_hosp_rate
Austria,0-2mo,65.0,55.2,74.8
Belgium,0-2mo,68.6,58.8,78.4
Bulgaria,0-2mo,81.8,72.0,91.6
Croatia,0-2mo,79.4,69.7,89.2
Cyprus,0-2mo,78.4,68.6,88.2
Czechia,0-2mo,73.9,64.1,83.7
Denmark,0-2mo,59.2,49.3,69.0
Estonia,0-2mo,69.8,60.0,79.7
Finland,0-2mo,77.8,67.9,87.7
France,0-2mo,98.3,88.5,108.1
Germany,0-2mo,72.5,62.7,82.2
Greece,0-2mo,82.6,72.8,92.4
Hungary,0-2mo,75.3,65.5,85.1
Ireland,0-2mo,70.1,60.3,79.9
Italy,0-2mo,80.9,71.1,90.7
Latvia,0-2mo,75.0,65.2,84.8
Lithuania,0-2mo,73.6,63.8,83.4
Luxembourg,0-2mo,63.5,53.7,73.3
Malta,0-2mo,64.8,54.8,74.7
Netherlands,0-2mo,47.4,37.6,57.3
Norway,0-2mo,54.6,44.5,64.7
Poland,0-2mo,71.4,61.6,81.2
Portugal,0-2mo,70.2,60.4,80.0
Romania,0-2mo,68.8,59.0,78.6
Slovakia,0-2mo,74.6,64.8,84.3
Slovenia,0-2mo,75.4,65.6,85.2
Spain,0-2mo,69.4,59.6,79.2
Sweden,0-2mo,63.0,53.1,72.8
United Kingdom,0-2mo,63.4,47.8,79.1
Austria,3-5mo,33.1,27.7,38.5
Belgium,3-5mo,36.3,30.9,41.7
Bulgaria,3-5mo,48.9,43.5,54.3
Croatia,3-5mo,42.6,37.2,48.0
Cyprus,3-5mo,41.3,35.9,46.7
Czechia,3-5mo,41.0,35.6,46.4
Denmark,3-5mo,40.7,35.3,46.2
Estonia,3-5mo,37.3,31.8,42.7
Finland,3-5mo,43.2,37.7,48.6
France,3-5mo,48.8,43.4,54.2
Germany,3-5mo,38.6,33.2,44.0
Greece,3-5mo,44.3,38.9,49.7
Hungary,3-5mo,44.7,39.3,50.1
Ireland,3-5mo,47.0,41.6,52.4
Italy,3-5mo,41.7,36.3,47.1
Latvia,3-5mo,41.3,35.9,46.7
Lithuania,3-5mo,38.5,33.1,43.9
Luxembourg,3-5mo,32.6,27.2,38.0
Malta,3-5mo,35.2,29.7,40.7
Netherlands,3-5mo,19.9,14.5,25.4
Norway,3-5mo,34.8,29.3,40.3
Poland,3-5mo,36.5,31.1,41.9
Portugal,3-5mo,31.7,26.3,37.1
Romania,3-5mo,37.7,32.3,43.1
Slovakia,3-5mo,42.0,36.6,47.4
Slovenia,3-5mo,42.6,37.2,48.0
Spain,3-5mo,32.6,27.2,38.0
Sweden,3-5mo,35.5,30.1,41.0
United Kingdom,3-5mo,38.9,29.7,48.1
Austria,6-11mo,13.5,10.7,16.4
Belgium,6-11mo,15.9,13.1,18.7
Bulgaria,6-11mo,21.2,18.4,24.0
Croatia,6-11mo,19.0,16.2,21.8
Cyprus,6-11mo,16.7,13.9,19.5
Czechia,6-11mo,18.4,15.6,21.2
Denmark,6-11mo,20.4,17.5,23.2
Estonia,6-11mo,17.2,14.4,20.1
Finland,6-11mo,16.6,13.8,19.4
France,6-11mo,26.0,23.2,28.8
Germany,6-11mo,17.5,14.6,20.3
Greece,6-11mo,19.1,16.3,21.9
Hungary,6-11mo,19.8,16.9,22.6
Ireland,6-11mo,22.6,19.8,25.4
Italy,6-11mo,18.1,15.3,20.9
Latvia,6-11mo,18.4,15.6,21.2
Lithuania,6-11mo,17.0,14.2,19.8
Luxembourg,6-11mo,13.1,10.3,15.9
Malta,6-11mo,17.9,15.0,20.7
Netherlands,6-11mo,8.5,5.7,11.3
Norway,6-11mo,15.4,12.5,18.2
Poland,6-11mo,16.2,13.4,19.1
Portugal,6-11mo,15.2,12.4,18.0
Romania,6-11mo,19.4,16.6,22.2
Slovakia,6-11mo,18.8,16.0,21.6
Slovenia,6-11mo,17.6,14.8,20.4
Spain,6-11mo,16.8,14.0,19.6
Sweden,6-11mo,16.9,14.1,19.7
United Kingdom,6-11mo,18.9,14.2,23.6
Austria,12-35mo,4.5,3.5,5.5
Belgium,12-35mo,4.8,3.8,5.9
