survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
primary care syndromic,Austria,AT,2024-W14,2024-04-07,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,AT,2024-W14,2024-04-07,ILIconsultationrate,15-64,1802.9
primary care syndromic,Austria,AT,2024-W14,2024-04-07,ILIconsultationrate,5-14,1944.9
primary care syndromic,Austria,AT,2024-W14,2024-04-07,ILIconsultationrate,65+,856.9
primary care syndromic,Austria,AT,2024-W14,2024-04-07,ILIconsultationrate,total,1512.6
primary care syndromic,Austria,AT,2024-W13,2024-03-31,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,AT,2024-W13,2024-03-31,ILIconsultationrate,15-64,2090.6
primary care syndromic,Austria,AT,2024-W13,2024-03-31,ILIconsultationrate,5-14,1701.8
primary care syndromic,Austria,AT,2024-W13,2024-03-31,ILIconsultationrate,65+,1175.7
primary care syndromic,Austria,AT,2024-W13,2024-03-31,ILIconsultationrate,total,1629.1
primary care syndromic,Austria,AT,2024-W12,2024-03-24,ILIconsultationrate,0-4,1438.1
primary care syndromic,Austria,AT,2024-W12,2024-03-24,ILIconsultationrate,15-64,2537.7
primary care syndromic,Austria,AT,2024-W12,2024-03-24,ILIconsultationrate,5-14,2863.3
primary care syndromic,Austria,AT,2024-W12,2024-03-24,ILIconsultationrate,65+,696.2
primary care syndromic,Austria,AT,2024-W12,2024-03-24,ILIconsultationrate,total,2179.8
primary care syndromic,Austria,AT,2024-W11,2024-03-17,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,AT,2024-W11,2024-03-17,ILIconsultationrate,15-64,2207.6
primary care syndromic,Austria,AT,2024-W11,2024-03-17,ILIconsultationrate,5-14,2248.8
primary care syndromic,Austria,AT,2024-W11,2024-03-17,ILIconsultationrate,65+,905.1
primary care syndromic,Austria,AT,2024-W11,2024-03-17,ILIconsultationrate,total,1798.0
primary care syndromic,Austria,AT,2024-W10,2024-03-10,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,AT,2024-W10,2024-03-10,ILIconsultationrate,15-64,2051.8
primary care syndromic,Austria,AT,2024-W10,2024-03-10,ILIconsultationrate,5-14,2694.5
primary care syndromic,Austria,AT,2024-W10,2024-03-10,ILIconsultationrate,65+,873.7
primary care syndromic,Austria,AT,2024-W10,2024-03-10,ILIconsultationrate,total,1790.0
primary care syndromic,Austria,AT,2024-W09,2024-03-03,ILIconsultationrate,0-4,1714.6
primary care syndromic,Austria,AT,2024-W09,2024-03-03,ILIconsultationrate,15-64,2640.8
primary care syndromic,Austria,AT,2024-W09,2024-03-03,ILIconsultationrate,5-14,3349.5
primary care syndromic,Austria,AT,2024-W09,2024-03-03,ILIconsultationrate,65+,668.3
primary care syndromic,Austria,AT,2024-W09,2024-03-03,ILIconsultationrate,total,2338.0
primary care syndromic,Austria,AT,2024-W08,2024-02-25,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,AT,2024-W08,2024-02-25,ILIconsultationrate,15-64,2342.2
primary care syndromic,Austria,AT,2024-W08,2024-02-25,ILIconsultationrate,5-14,2539.2
primary care syndromic,Austria,AT,2024-W08,2024-02-25,ILIconsultationrate,65+,954.9
primary care syndromic,Austria,AT,2024-W08,2024-02-25,ILIconsultationrate,total,1945.2
primary care syndromic,Austria,AT,2024-W07,2024-02-18,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,AT,2024-W07,2024-02-18,ILIconsultationrate,15-64,3511.1
primary care syndromic,Austria,AT,2024-W07,2024-02-18,ILIconsultationrate,5-14,2957.9
primary care syndromic,Austria,AT,2024-W07,2024-02-18,ILIconsultationrate,65+,1282.9
primary care syndromic,Austria,AT,2024-W07,2024-02-18,ILIconsultationrate,total,2634.8
primary care syndromic,Austria,AT,2024-W06,2024-02-11,ILIconsultationrate,0-4,4945.2
primary care syndromic,Austria,AT,2024-W06,2024-02-11,ILIconsultationrate,15-64,4614.5
primary care syndromic,Austria,AT,2024-W06,2024-02-11,ILIconsultationrate,5-14,1685.6
primary care syndromic,Austria,AT,2024-W06,2024-02-11,ILIconsultationrate,65+,1949.4
primary care syndromic,Austria,AT,2024-W06,2024-02-11,ILIconsultationrate,total,3595.8
primary care syndromic,Austria,AT,2024-W05,2024-02-04,ILIconsultationrate,0-4,2738.6
primary care syndromic,Austria,AT,2024-W05,2024-02-04,ILIconsultationrate,15-64,3334.1
