survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2023-W24,2023-06-18,hospitaladmissions,15-64,1
non-sentinel,Austria,AT,2023-W24,2023-06-18,hospitaladmissions,total,1
non-sentinel,Austria,AT,2023-W23,2023-06-11,hospitaladmissions,15-64,1
non-sentinel,Austria,AT,2023-W23,2023-06-11,hospitaladmissions,65+,1
non-sentinel,Austria,AT,2023-W23,2023-06-11,hospitaladmissions,total,2
non-sentinel,Austria,AT,2023-W22,2023-06-04,hospitaladmissions,15-64,2
non-sentinel,Austria,AT,2023-W22,2023-06-04,hospitaladmissions,65+,2
non-sentinel,Austria,AT,2023-W22,2023-06-04,hospitaladmissions,total,4
non-sentinel,Austria,AT,2023-W21,2023-05-28,hospitaladmissions,15-64,1
non-sentinel,Austria,AT,2023-W21,2023-05-28,hospitaladmissions,65+,2
non-sentinel,Austria,AT,2023-W21,2023-05-28,hospitaladmissions,total,3
non-sentinel,Austria,AT,2023-W20,2023-05-21,hospitaladmissions,15-64,2
non-sentinel,Austria,AT,2023-W20,2023-05-21,hospitaladmissions,total,2
non-sentinel,Austria,AT,2023-W19,2023-05-14,hospitaladmissions,15-64,3
non-sentinel,Austria,AT,2023-W19,2023-05-14,hospitaladmissions,65+,1
non-sentinel,Austria,AT,2023-W19,2023-05-14,hospitaladmissions,total,4
non-sentinel,Austria,AT,2023-W18,2023-05-07,hospitaladmissions,15-64,1
non-sentinel,Austria,AT,2023-W18,2023-05-07,hospitaladmissions,total,1
non-sentinel,Austria,AT,2023-W17,2023-04-30,hospitaladmissions,15-64,1
non-sentinel,Austria,AT,2023-W17,2023-04-30,hospitaladmissions,65+,3
non-sentinel,Austria,AT,2023-W17,2023-04-30,hospitaladmissions,total,4
non-sentinel,Austria,AT,2023-W16,2023-04-23,hospitaladmissions,15-64,1
non-sentinel,Austria,AT,2023-W16,2023-04-23,hospitaladmissions,65+,3
non-sentinel,Austria,AT,2023-W16,2023-04-23,hospitaladmissions,total,4
non-sentinel,Austria,AT,2023-W15,2023-04-16,hospitaladmissions,15-64,3
non-sentinel,Austria,AT,2023-W15,2023-04-16,hospitaladmissions,65+,11
non-sentinel,Austria,AT,2023-W15,2023-04-16,hospitaladmissions,total,14
non-sentinel,Austria,AT,2023-W14,2023-04-09,hospitaladmissions,15-64,8
non-sentinel,Austria,AT,2023-W14,2023-04-09,hospitaladmissions,65+,7
non-sentinel,Austria,AT,2023-W14,2023-04-09,hospitaladmissions,total,15
non-sentinel,Austria,AT,2023-W13,2023-04-02,hospitaladmissions,0-4,1
non-sentinel,Austria,AT,2023-W13,2023-04-02,hospitaladmissions,15-64,15
non-sentinel,Austria,AT,2023-W13,2023-04-02,hospitaladmissions,65+,14
non-sentinel,Austria,AT,2023-W13,2023-04-02,hospitaladmissions,total,30
non-sentinel,Austria,AT,2023-W12,2023-03-26,hospitaladmissions,15-64,28
non-sentinel,Austria,AT,2023-W12,2023-03-26,hospitaladmissions,65+,39
non-sentinel,Austria,AT,2023-W12,2023-03-26,hospitaladmissions,total,67
non-sentinel,Austria,AT,2023-W11,2023-03-19,hospitaladmissions,0-4,2
non-sentinel,Austria,AT,2023-W11,2023-03-19,hospitaladmissions,15-64,35
non-sentinel,Austria,AT,2023-W11,2023-03-19,hospitaladmissions,65+,36
non-sentinel,Austria,AT,2023-W11,2023-03-19,hospitaladmissions,total,73
non-sentinel,Austria,AT,2023-W10,2023-03-12,hospitaladmissions,0-4,2
non-sentinel,Austria,AT,2023-W10,2023-03-12,hospitaladmissions,15-64,53
non-sentinel,Austria,AT,2023-W10,2023-03-12,hospitaladmissions,65+,47
non-sentinel,Austria,AT,2023-W10,2023-03-12,hospitaladmissions,total,102
